CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
╝Г╤И╔╚,1965,7,121.00,24.95,1.05721,
╝Г╤И╔╚,1965,8,121.00,24.95,4.41353,
╝Г╤И╔╚,1965,9,121.00,24.95,0.706163,
╝Г╤И╔╚,1965,10,121.00,24.95,1.79826,
╝Г╤И╔╚,1965,11,121.00,24.95,1.03417,
╝Г╤И╔╚,1965,12,121.00,24.95,0.802619,
╝Г╤И╔╚,1966,1,121.00,24.95,0.35313,
╝Г╤И╔╚,1966,2,121.00,24.95,2.59489,
╝Г╤И╔╚,1966,3,121.00,24.95,3.09647,
╝Г╤И╔╚,1966,4,121.00,24.95,4.93224,
╝Г╤И╔╚,1966,5,121.00,24.95,0.783007,
╝Г╤И╔╚,1966,6,121.00,24.95,23.8658,
╝Г╤И╔╚,1966,7,121.00,24.95,3.74427,
╝Г╤И╔╚,1966,8,121.00,24.95,6.47481,
╝Г╤И╔╚,1966,9,121.00,24.95,5.40061,
╝Г╤И╔╚,1966,10,121.00,24.95,0.0776973,
╝Г╤И╔╚,1966,11,121.00,24.95,0.0038606,
╝Г╤И╔╚,1966,12,121.00,24.95,0.862683,
╝Г╤И╔╚,1967,1,121.00,24.95,2.47933,
╝Г╤И╔╚,1967,2,121.00,24.95,3.44137,
╝Г╤И╔╚,1967,3,121.00,24.95,1.09081,
╝Г╤И╔╚,1967,4,121.00,24.95,3.01765,
╝Г╤И╔╚,1967,5,121.00,24.95,4.58149,
╝Г╤И╔╚,1967,6,121.00,24.95,2.7295,
╝Г╤И╔╚,1967,7,121.00,24.95,2.22987,
╝Г╤И╔╚,1967,8,121.00,24.95,0.219108,
╝Г╤И╔╚,1967,9,121.00,24.95,1.26,
╝Г╤И╔╚,1967,10,121.00,24.95,3.43175,
╝Г╤И╔╚,1967,11,121.00,24.95,0.213179,
╝Г╤И╔╚,1967,12,121.00,24.95,0.665781,
╝Г╤И╔╚,1968,1,121.00,24.95,0.45246,
╝Г╤И╔╚,1968,2,121.00,24.95,9.00411,
╝Г╤И╔╚,1968,3,121.00,24.95,4.87555,
╝Г╤И╔╚,1968,4,121.00,24.95,2.33902,
╝Г╤И╔╚,1968,5,121.00,24.95,10.2339,
╝Г╤И╔╚,1968,6,121.00,24.95,14.9571,
╝Г╤И╔╚,1968,7,121.00,24.95,0.548146,
╝Г╤И╔╚,1968,8,121.00,24.95,2.57244,
╝Г╤И╔╚,1968,9,121.00,24.95,1.06018,
╝Г╤И╔╚,1968,10,121.00,24.95,0.809463,
╝Г╤И╔╚,1968,11,121.00,24.95,0,
╝Г╤И╔╚,1968,12,121.00,24.95,0.170661,
╝Г╤И╔╚,1969,1,121.00,24.95,2.50951,
╝Г╤И╔╚,1969,2,121.00,24.95,4.86894,
╝Г╤И╔╚,1969,3,121.00,24.95,5.48706,
╝Г╤И╔╚,1969,4,121.00,24.95,0.772862,
╝Г╤И╔╚,1969,5,121.00,24.95,3.53054,
╝Г╤И╔╚,1969,6,121.00,24.95,10.3275,
╝Г╤И╔╚,1969,7,121.00,24.95,0.295225,
╝Г╤И╔╚,1969,8,121.00,24.95,7.51704,
╝Г╤И╔╚,1969,9,121.00,24.95,10.2016,
╝Г╤И╔╚,1969,10,121.00,24.95,9.92136,
╝Г╤И╔╚,1969,11,121.00,24.95,0.483955,
╝Г╤И╔╚,1969,12,121.00,24.95,0.0549628,
╝Г╤И╔╚,1970,1,121.00,24.95,3.20914,
╝Г╤И╔╚,1970,2,121.00,24.95,0.609844,
╝Г╤И╔╚,1970,3,121.00,24.95,9.22196,
╝Г╤И╔╚,1970,4,121.00,24.95,1.54799,
╝Г╤И╔╚,1970,5,121.00,24.95,6.43727,
╝Г╤И╔╚,1970,6,121.00,24.95,2.42737,
╝Г╤И╔╚,1970,7,121.00,24.95,0.874988,
╝Г╤И╔╚,1970,8,121.00,24.95,10.445,
╝Г╤И╔╚,1970,9,121.00,24.95,11.295,
╝Г╤И╔╚,1970,10,121.00,24.95,1.09145,
╝Г╤И╔╚,1970,11,121.00,24.95,0.418754,
╝Г╤И╔╚,1970,12,121.00,24.95,3.12369,
╝Г╤И╔╚,1971,1,121.00,24.95,3.03193,
╝Г╤И╔╚,1971,2,121.00,24.95,1.21718,
╝Г╤И╔╚,1971,3,121.00,24.95,1.27962,
╝Г╤И╔╚,1971,4,121.00,24.95,1.2014,
╝Г╤И╔╚,1971,5,121.00,24.95,2.51219,
╝Г╤И╔╚,1971,6,121.00,24.95,3.8303,
╝Г╤И╔╚,1971,7,121.00,24.95,1.20649,
╝Г╤И╔╚,1971,8,121.00,24.95,0.47886,
╝Г╤И╔╚,1971,9,121.00,24.95,9.41632,
╝Г╤И╔╚,1971,10,121.00,24.95,2.06454,
╝Г╤И╔╚,1971,11,121.00,24.95,1.47849,
╝Г╤И╔╚,1971,12,121.00,24.95,1.70549,
╝Г╤И╔╚,1972,1,121.00,24.95,2.85828,
╝Г╤И╔╚,1972,2,121.00,24.95,2.01755,
╝Г╤И╔╚,1972,3,121.00,24.95,0.573021,
╝Г╤И╔╚,1972,4,121.00,24.95,1.65385,
╝Г╤И╔╚,1972,5,121.00,24.95,8.65372,
╝Г╤И╔╚,1972,6,121.00,24.95,4.4584,
╝Г╤И╔╚,1972,7,121.00,24.95,6.26783,
╝Г╤И╔╚,1972,8,121.00,24.95,9.80856,
╝Г╤И╔╚,1972,9,121.00,24.95,0.00623587,
╝Г╤И╔╚,1972,10,121.00,24.95,0.167642,
╝Г╤И╔╚,1972,11,121.00,24.95,1.33595,
╝Г╤И╔╚,1972,12,121.00,24.95,2.1681,
╝Г╤И╔╚,1973,1,121.00,24.95,3.22046,
╝Г╤И╔╚,1973,2,121.00,24.95,2.12163,
╝Г╤И╔╚,1973,3,121.00,24.95,1.61157,
╝Г╤И╔╚,1973,4,121.00,24.95,8.98208,
╝Г╤И╔╚,1973,5,121.00,24.95,5.77324,
╝Г╤И╔╚,1973,6,121.00,24.95,7.94078,
╝Г╤И╔╚,1973,7,121.00,24.95,1.09845,
╝Г╤И╔╚,1973,8,121.00,24.95,4.05781,
╝Г╤И╔╚,1973,9,121.00,24.95,0.00484409,
╝Г╤И╔╚,1973,10,121.00,24.95,2.26283,
╝Г╤И╔╚,1973,11,121.00,24.95,1.18654,
╝Г╤И╔╚,1973,12,121.00,24.95,0.0938369,
╝Г╤И╔╚,1974,1,121.00,24.95,0.093588,
╝Г╤И╔╚,1974,2,121.00,24.95,3.23787,
╝Г╤И╔╚,1974,3,121.00,24.95,2.48013,
╝Г╤И╔╚,1974,4,121.00,24.95,6.15975,
╝Г╤И╔╚,1974,5,121.00,24.95,9.75473,
╝Г╤И╔╚,1974,6,121.00,24.95,18.4527,
╝Г╤И╔╚,1974,7,121.00,24.95,4.7466,
╝Г╤И╔╚,1974,8,121.00,24.95,2.82456,
╝Г╤И╔╚,1974,9,121.00,24.95,0.975826,
╝Г╤И╔╚,1974,10,121.00,24.95,2.14271,
╝Г╤И╔╚,1974,11,121.00,24.95,0.656198,
╝Г╤И╔╚,1974,12,121.00,24.95,3.03325,
╝Г╤И╔╚,1975,1,121.00,24.95,2.90164,
╝Г╤И╔╚,1975,2,121.00,24.95,2.70293,
╝Г╤И╔╚,1975,3,121.00,24.95,8.22863,
╝Г╤И╔╚,1975,4,121.00,24.95,3.06279,
╝Г╤И╔╚,1975,5,121.00,24.95,6.50262,
╝Г╤И╔╚,1975,6,121.00,24.95,11.3344,
╝Г╤И╔╚,1975,7,121.00,24.95,0.888109,
╝Г╤И╔╚,1975,8,121.00,24.95,4.38835,
╝Г╤И╔╚,1975,9,121.00,24.95,2.38764,
╝Г╤И╔╚,1975,10,121.00,24.95,2.62469,
╝Г╤И╔╚,1975,11,121.00,24.95,1.34265,
╝Г╤И╔╚,1975,12,121.00,24.95,3.72923,
╝Г╤И╔╚,1976,1,121.00,24.95,0.770184,
╝Г╤И╔╚,1976,2,121.00,24.95,1.66575,
╝Г╤И╔╚,1976,3,121.00,24.95,2.88347,
╝Г╤И╔╚,1976,4,121.00,24.95,3.77538,
╝Г╤И╔╚,1976,5,121.00,24.95,8.33401,
╝Г╤И╔╚,1976,6,121.00,24.95,4.83249,
╝Г╤И╔╚,1976,7,121.00,24.95,9.21709,
╝Г╤И╔╚,1976,8,121.00,24.95,3.9403,
╝Г╤И╔╚,1976,9,121.00,24.95,1.38176,
╝Г╤И╔╚,1976,10,121.00,24.95,1.0134,
╝Г╤И╔╚,1976,11,121.00,24.95,0.552967,
╝Г╤И╔╚,1976,12,121.00,24.95,0.472628,
╝Г╤И╔╚,1977,1,121.00,24.95,3.83035,
╝Г╤И╔╚,1977,2,121.00,24.95,2.49922,
╝Г╤И╔╚,1977,3,121.00,24.95,1.01365,
╝Г╤И╔╚,1977,4,121.00,24.95,1.27549,
╝Г╤И╔╚,1977,5,121.00,24.95,4.20437,
╝Г╤И╔╚,1977,6,121.00,24.95,14.2287,
╝Г╤И╔╚,1977,7,121.00,24.95,10.049,
╝Г╤И╔╚,1977,8,121.00,24.95,3.47254,
╝Г╤И╔╚,1977,9,121.00,24.95,3.54642,
╝Г╤И╔╚,1977,10,121.00,24.95,0,
╝Г╤И╔╚,1977,11,121.00,24.95,2.25696,
╝Г╤И╔╚,1977,12,121.00,24.95,3.78849,
╝Г╤И╔╚,1978,1,121.00,24.95,1.33405,
╝Г╤И╔╚,1978,2,121.00,24.95,1.62309,
╝Г╤И╔╚,1978,3,121.00,24.95,10.8136,
╝Г╤И╔╚,1978,4,121.00,24.95,5.90443,
╝Г╤И╔╚,1978,5,121.00,24.95,9.06834,
╝Г╤И╔╚,1978,6,121.00,24.95,3.04042,
╝Г╤И╔╚,1978,7,121.00,24.95,0.146984,
╝Г╤И╔╚,1978,8,121.00,24.95,1.16369,
╝Г╤И╔╚,1978,9,121.00,24.95,5.5991,
╝Г╤И╔╚,1978,10,121.00,24.95,6.93588,
╝Г╤И╔╚,1978,11,121.00,24.95,0.00196846,
╝Г╤И╔╚,1978,12,121.00,24.95,2.25781,
╝Г╤И╔╚,1979,1,121.00,24.95,1.02173,
╝Г╤И╔╚,1979,2,121.00,24.95,1.17965,
╝Г╤И╔╚,1979,3,121.00,24.95,7.00212,
╝Г╤И╔╚,1979,4,121.00,24.95,3.18281,
╝Г╤И╔╚,1979,5,121.00,24.95,5.08072,
╝Г╤И╔╚,1979,6,121.00,24.95,14.8129,
╝Г╤И╔╚,1979,7,121.00,24.95,0,
╝Г╤И╔╚,1979,8,121.00,24.95,4.0261,
╝Г╤И╔╚,1979,9,121.00,24.95,0.643747,
╝Г╤И╔╚,1979,10,121.00,24.95,0.938958,
╝Г╤И╔╚,1979,11,121.00,24.95,1.81381,
╝Г╤И╔╚,1979,12,121.00,24.95,0.0247273,
╝Г╤И╔╚,1980,1,121.00,24.95,3.1869,
╝Г╤И╔╚,1980,2,121.00,24.95,4.87365,
╝Г╤И╔╚,1980,3,121.00,24.95,2.90825,
╝Г╤И╔╚,1980,4,121.00,24.95,4.94248,
╝Г╤И╔╚,1980,5,121.00,24.95,4.02807,
╝Г╤И╔╚,1980,6,121.00,24.95,0,
╝Г╤И╔╚,1980,7,121.00,24.95,0.83204,
╝Г╤И╔╚,1980,8,121.00,24.95,3.72058,
╝Г╤И╔╚,1980,9,121.00,24.95,1.86959,
╝Г╤И╔╚,1980,10,121.00,24.95,1.126,
╝Г╤И╔╚,1980,11,121.00,24.95,0.461109,
╝Г╤И╔╚,1980,12,121.00,24.95,0.0786316,
╝Г╤И╔╚,1981,1,121.00,24.95,0,
╝Г╤И╔╚,1981,2,121.00,24.95,2.96018,
╝Г╤И╔╚,1981,3,121.00,24.95,4.07121,
╝Г╤И╔╚,1981,4,121.00,24.95,2.43954,
╝Г╤И╔╚,1981,5,121.00,24.95,19.4658,
╝Г╤И╔╚,1981,6,121.00,24.95,11.7159,
╝Г╤И╔╚,1981,7,121.00,24.95,11.5601,
╝Г╤И╔╚,1981,8,121.00,24.95,1.22186,
╝Г╤И╔╚,1981,9,121.00,24.95,2.06492,
╝Г╤И╔╚,1981,10,121.00,24.95,0.143435,
╝Г╤И╔╚,1981,11,121.00,24.95,4.0214,
╝Г╤И╔╚,1981,12,121.00,24.95,2.57403,
╝Г╤И╔╚,1982,1,121.00,24.95,0.149538,
╝Г╤И╔╚,1982,2,121.00,24.95,3.64004,
╝Г╤И╔╚,1982,3,121.00,24.95,4.61762,
╝Г╤И╔╚,1982,4,121.00,24.95,5.62868,
╝Г╤И╔╚,1982,5,121.00,24.95,5.12444,
╝Г╤И╔╚,1982,6,121.00,24.95,14.5512,
╝Г╤И╔╚,1982,7,121.00,24.95,4.02136,
╝Г╤И╔╚,1982,8,121.00,24.95,3.30645,
╝Г╤И╔╚,1982,9,121.00,24.95,0.164708,
╝Г╤И╔╚,1982,10,121.00,24.95,0.0993016,
╝Г╤И╔╚,1982,11,121.00,24.95,3.80482,
╝Г╤И╔╚,1982,12,121.00,24.95,1.63494,
╝Г╤И╔╚,1983,1,121.00,24.95,3.45992,
╝Г╤И╔╚,1983,2,121.00,24.95,12.5644,
╝Г╤И╔╚,1983,3,121.00,24.95,17.1706,
╝Г╤И╔╚,1983,4,121.00,24.95,2.59622,
╝Г╤И╔╚,1983,5,121.00,24.95,8.19184,
╝Г╤И╔╚,1983,6,121.00,24.95,2.70649,
╝Г╤И╔╚,1983,7,121.00,24.95,1.11182,
╝Г╤И╔╚,1983,8,121.00,24.95,1.76053,
╝Г╤И╔╚,1983,9,121.00,24.95,1.30033,
╝Г╤И╔╚,1983,10,121.00,24.95,0.00297965,
╝Г╤И╔╚,1983,11,121.00,24.95,0.0422437,
╝Г╤И╔╚,1983,12,121.00,24.95,1.62237,
╝Г╤И╔╚,1984,1,121.00,24.95,1.17833,
╝Г╤И╔╚,1984,2,121.00,24.95,2.34254,
╝Г╤И╔╚,1984,3,121.00,24.95,7.61621,
╝Г╤И╔╚,1984,4,121.00,24.95,10.4852,
╝Г╤И╔╚,1984,5,121.00,24.95,12.4057,
╝Г╤И╔╚,1984,6,121.00,24.95,5.53701,
╝Г╤И╔╚,1984,7,121.00,24.95,1.14896,
╝Г╤И╔╚,1984,8,121.00,24.95,8.23996,
╝Г╤И╔╚,1984,9,121.00,24.95,1.56773,
╝Г╤И╔╚,1984,10,121.00,24.95,0.437091,
╝Г╤И╔╚,1984,11,121.00,24.95,0.801584,
╝Г╤И╔╚,1984,12,121.00,24.95,0.377121,
╝Г╤И╔╚,1985,1,121.00,24.95,1.63669,
╝Г╤И╔╚,1985,2,121.00,24.95,15.4531,
╝Г╤И╔╚,1985,3,121.00,24.95,4.34829,
╝Г╤И╔╚,1985,4,121.00,24.95,4.68753,
╝Г╤И╔╚,1985,5,121.00,24.95,5.087,
╝Г╤И╔╚,1985,6,121.00,24.95,4.93242,
╝Г╤И╔╚,1985,7,121.00,24.95,2.61114,
╝Г╤И╔╚,1985,8,121.00,24.95,4.58448,
╝Г╤И╔╚,1985,9,121.00,24.95,1.29029,
╝Г╤И╔╚,1985,10,121.00,24.95,1.05805,
╝Г╤И╔╚,1985,11,121.00,24.95,0.969791,
╝Г╤И╔╚,1985,12,121.00,24.95,2.95183,
╝Г╤И╔╚,1986,1,121.00,24.95,0.423553,
╝Г╤И╔╚,1986,2,121.00,24.95,4.71711,
╝Г╤И╔╚,1986,3,121.00,24.95,11.4087,
╝Г╤И╔╚,1986,4,121.00,24.95,1.02664,
╝Г╤И╔╚,1986,5,121.00,24.95,8.49605,
╝Г╤И╔╚,1986,6,121.00,24.95,5.89049,
╝Г╤И╔╚,1986,7,121.00,24.95,0.266258,
╝Г╤И╔╚,1986,8,121.00,24.95,4.83412,
╝Г╤И╔╚,1986,9,121.00,24.95,4.49329,
╝Г╤И╔╚,1986,10,121.00,24.95,0.497813,
╝Г╤И╔╚,1986,11,121.00,24.95,4.69499,
╝Г╤И╔╚,1986,12,121.00,24.95,0.586751,
╝Г╤И╔╚,1987,1,121.00,24.95,2.42309,
╝Г╤И╔╚,1987,2,121.00,24.95,1.3316,
╝Г╤И╔╚,1987,3,121.00,24.95,8.11771,
╝Г╤И╔╚,1987,4,121.00,24.95,3.71086,
╝Г╤И╔╚,1987,5,121.00,24.95,7.20159,
╝Г╤И╔╚,1987,6,121.00,24.95,4.47479,
╝Г╤И╔╚,1987,7,121.00,24.95,2.51443,
╝Г╤И╔╚,1987,8,121.00,24.95,0.360695,
╝Г╤И╔╚,1987,9,121.00,24.95,7.16386,
╝Г╤И╔╚,1987,10,121.00,24.95,3.43277,
╝Г╤И╔╚,1987,11,121.00,24.95,4.13413,
╝Г╤И╔╚,1987,12,121.00,24.95,0.204676,
╝Г╤И╔╚,1988,1,121.00,24.95,2.61448,
╝Г╤И╔╚,1988,2,121.00,24.95,2.19696,
╝Г╤И╔╚,1988,3,121.00,24.95,6.32825,
╝Г╤И╔╚,1988,4,121.00,24.95,8.00719,
╝Г╤И╔╚,1988,5,121.00,24.95,6.06258,
╝Г╤И╔╚,1988,6,121.00,24.95,0.582859,
╝Г╤И╔╚,1988,7,121.00,24.95,2.33651,
╝Г╤И╔╚,1988,8,121.00,24.95,1.78545,
╝Г╤И╔╚,1988,9,121.00,24.95,2.93466,
╝Г╤И╔╚,1988,10,121.00,24.95,1.08017,
╝Г╤И╔╚,1988,11,121.00,24.95,0.716707,
╝Г╤И╔╚,1988,12,121.00,24.95,0.30615,
╝Г╤И╔╚,1989,1,121.00,24.95,1.52956,
╝Г╤И╔╚,1989,2,121.00,24.95,0.83542,
╝Г╤И╔╚,1989,3,121.00,24.95,2.85977,
╝Г╤И╔╚,1989,4,121.00,24.95,5.81811,
╝Г╤И╔╚,1989,5,121.00,24.95,5.68888,
╝Г╤И╔╚,1989,6,121.00,24.95,0.894238,
╝Г╤И╔╚,1989,7,121.00,24.95,5.84329,
╝Г╤И╔╚,1989,8,121.00,24.95,1.12259,
╝Г╤И╔╚,1989,9,121.00,24.95,2.63694,
╝Г╤И╔╚,1989,10,121.00,24.95,0.56133,
╝Г╤И╔╚,1989,11,121.00,24.95,0.401584,
╝Г╤И╔╚,1989,12,121.00,24.95,1.42897,
╝Г╤И╔╚,1990,1,121.00,24.95,2.98791,
╝Г╤И╔╚,1990,2,121.00,24.95,4.40215,
╝Г╤И╔╚,1990,3,121.00,24.95,2.46458,
╝Г╤И╔╚,1990,4,121.00,24.95,16.708,
╝Г╤И╔╚,1990,5,121.00,24.95,2.13676,
╝Г╤И╔╚,1990,6,121.00,24.95,11.7998,
╝Г╤И╔╚,1990,7,121.00,24.95,0.475414,
╝Г╤И╔╚,1990,8,121.00,24.95,10.3142,
╝Г╤И╔╚,1990,9,121.00,24.95,5.21205,
╝Г╤И╔╚,1990,10,121.00,24.95,0.0844464,
╝Г╤И╔╚,1990,11,121.00,24.95,0.242166,
╝Г╤И╔╚,1990,12,121.00,24.95,0.0609008,
╝Г╤И╔╚,1991,1,121.00,24.95,2.81512,
╝Г╤И╔╚,1991,2,121.00,24.95,2.0599,
╝Г╤И╔╚,1991,3,121.00,24.95,2.86424,
╝Г╤И╔╚,1991,4,121.00,24.95,3.87272,
╝Г╤И╔╚,1991,5,121.00,24.95,2.04824,
╝Г╤И╔╚,1991,6,121.00,24.95,7.99681,
╝Г╤И╔╚,1991,7,121.00,24.95,0.0580024,
╝Г╤И╔╚,1991,8,121.00,24.95,0.443868,
╝Г╤И╔╚,1991,9,121.00,24.95,3.51895,
╝Г╤И╔╚,1991,10,121.00,24.95,0.763838,
╝Г╤И╔╚,1991,11,121.00,24.95,0.338517,
╝Г╤И╔╚,1991,12,121.00,24.95,1.42611,
╝Г╤И╔╚,1992,1,121.00,24.95,2.1798,
╝Г╤И╔╚,1992,2,121.00,24.95,10.267,
╝Г╤И╔╚,1992,3,121.00,24.95,3.98632,
╝Г╤И╔╚,1992,4,121.00,24.95,6.01862,
╝Г╤И╔╚,1992,5,121.00,24.95,5.88098,
╝Г╤И╔╚,1992,6,121.00,24.95,5.87339,
╝Г╤И╔╚,1992,7,121.00,24.95,0.95683,
╝Г╤И╔╚,1992,8,121.00,24.95,4.75175,
╝Г╤И╔╚,1992,9,121.00,24.95,2.87055,
╝Г╤И╔╚,1992,10,121.00,24.95,3.35033,
╝Г╤И╔╚,1992,11,121.00,24.95,0.491485,
╝Г╤И╔╚,1992,12,121.00,24.95,1.99707,
╝Г╤И╔╚,1993,1,121.00,24.95,2.8996,
╝Г╤И╔╚,1993,2,121.00,24.95,0.428394,
╝Г╤И╔╚,1993,3,121.00,24.95,4.7818,
╝Г╤И╔╚,1993,4,121.00,24.95,3.88365,
╝Г╤И╔╚,1993,5,121.00,24.95,4.89468,
╝Г╤И╔╚,1993,6,121.00,24.95,16.8642,
╝Г╤И╔╚,1993,7,121.00,24.95,0.709241,
╝Г╤И╔╚,1993,8,121.00,24.95,0.811981,
╝Г╤И╔╚,1993,9,121.00,24.95,0.33947,
╝Г╤И╔╚,1993,10,121.00,24.95,1.46943,
╝Г╤И╔╚,1993,11,121.00,24.95,1.65975,
╝Г╤И╔╚,1993,12,121.00,24.95,1.06892,
╝Г╤И╔╚,1994,1,121.00,24.95,1.5725,
╝Г╤И╔╚,1994,2,121.00,24.95,7.57392,
╝Г╤И╔╚,1994,3,121.00,24.95,3.48437,
╝Г╤И╔╚,1994,4,121.00,24.95,1.62515,
╝Г╤И╔╚,1994,5,121.00,24.95,6.59847,
╝Г╤И╔╚,1994,6,121.00,24.95,1.87755,
╝Г╤И╔╚,1994,7,121.00,24.95,2.42605,
╝Г╤И╔╚,1994,8,121.00,24.95,10.7873,
╝Г╤И╔╚,1994,9,121.00,24.95,1.92019,
╝Г╤И╔╚,1994,10,121.00,24.95,2.51587,
╝Г╤И╔╚,1994,11,121.00,24.95,0,
╝Г╤И╔╚,1994,12,121.00,24.95,0.991999,
╝Г╤И╔╚,1995,1,121.00,24.95,1.26846,
╝Г╤И╔╚,1995,2,121.00,24.95,5.63023,
╝Г╤И╔╚,1995,3,121.00,24.95,5.41011,
╝Г╤И╔╚,1995,4,121.00,24.95,2.31829,
╝Г╤И╔╚,1995,5,121.00,24.95,5.89423,
╝Г╤И╔╚,1995,6,121.00,24.95,3.2771,
╝Г╤И╔╚,1995,7,121.00,24.95,3.83296,
╝Г╤И╔╚,1995,8,121.00,24.95,1.44808,
╝Г╤И╔╚,1995,9,121.00,24.95,1.42908,
╝Г╤И╔╚,1995,10,121.00,24.95,0.0129587,
╝Г╤И╔╚,1995,11,121.00,24.95,0.151543,
╝Г╤И╔╚,1995,12,121.00,24.95,0.33307,
╝Г╤И╔╚,1996,1,121.00,24.95,0.0945746,
╝Г╤И╔╚,1996,2,121.00,24.95,3.83096,
╝Г╤И╔╚,1996,3,121.00,24.95,5.58099,
╝Г╤И╔╚,1996,4,121.00,24.95,7.46988,
╝Г╤И╔╚,1996,5,121.00,24.95,10.7825,
╝Г╤И╔╚,1996,6,121.00,24.95,1.04724,
╝Г╤И╔╚,1996,7,121.00,24.95,4.82746,
╝Г╤И╔╚,1996,8,121.00,24.95,2.21581,
╝Г╤И╔╚,1996,9,121.00,24.95,2.54956,
╝Г╤И╔╚,1996,10,121.00,24.95,0.32514,
╝Г╤И╔╚,1996,11,121.00,24.95,0.96143,
╝Г╤И╔╚,1996,12,121.00,24.95,0.0253664,
╝Г╤И╔╚,1997,1,121.00,24.95,0.993109,
╝Г╤И╔╚,1997,2,121.00,24.95,5.53853,
╝Г╤И╔╚,1997,3,121.00,24.95,3.82445,
╝Г╤И╔╚,1997,4,121.00,24.95,2.26112,
╝Г╤И╔╚,1997,5,121.00,24.95,4.77494,
